participant,prolificID,ishihara1,ishihara2,ishihara3,ishihara4,infoMessage,digitSpanExperiment,break1,flankerArrowsExperiment,digitSpan,flankerEffect,endsurvey,INFOSCREEN,CLIENT_start,TIME_start,TIME_end,TIME_total
s.2b4252e2-fb7f-4feb-9a5e-6e7a8c455d80.txt,51457,8478,12478,10467,8385,9624,"",139732,"","","","",36067,2025-12-01-09-24,2025-12-01-17-24,2025-12-01-17-37,13
s.6296ebb9-bee0-4aa6-ba15-26196cf11a4f.txt,3044,8096,15640,4206,5433,9120,"",14256,"","","","",25099,2025-12-01-11-24,2025-12-01-17-24,2025-12-01-17-31,7
s.f01a9c8c-b03b-42af-a0f0-8404b9563c6c.txt,5275,6468,70909,11026,8888,12373,"",34194,"","","","",30906,2025-12-01-12-24,2025-12-01-17-24,2025-12-01-17-36,12
s.b98192f9-835d-4f70-9386-e9832513514b.txt,7234,4633,26222,19297,6625,8103,"",11657,"","","","",12952,2025-12-01-11-24,2025-12-01-17-24,2025-12-01-17-32,8
s.7e40d96c-531f-481a-aa26-35e4ee11ff11.txt,14162,11205,163552,21895,20283,6144,"",3819,"","","","",12992,2025-12-01-12-24,2025-12-01-17-24,2025-12-01-17-38,14
s.8f66c45c-a4e1-42fa-968a-5f14a76b008d.txt,3951,6814,9162,6609,6804,3739,"",16325,"","","","",5879,2025-12-01-12-24,2025-12-01-17-24,2025-12-01-17-31,7
s.cf692281-6754-43c4-ba58-81cded1d7715.txt,298080,5368,21643,13740,4668,23765,"",4704,"","","","",270577,2025-12-01-09-24,2025-12-01-17-24,2025-12-01-17-43,19
s.939f33a8-bbf4-48ad-8058-8f21ba6427fa.txt,3248,5772,9243,9017,5638,8083,"",27922,"","","","",15900,2025-12-01-09-24,2025-12-01-17-24,2025-12-01-17-34,10
s.9f5edbff-66db-4c00-bb05-b3207ad3e1f2.txt,5089,5920,21999,10793,6307,13147,"",41702,"","","","",6914,2025-12-01-12-24,2025-12-01-17-24,2025-12-01-17-35,11
s.96fa408b-4011-47b6-b41e-dc666942f447.txt,4666,6297,7901,6255,5114,13606,"",6208,"","","","",56442,2025-12-01-12-25,2025-12-01-17-25,2025-12-01-17-32,7
s.24c7c222-a622-4f98-92b5-ec0f3b2684a0.txt,2934,17435,6449,5723,2755,3505,"",171416,"","","","",2911,2025-12-01-11-25,2025-12-01-17-25,2025-12-01-17-35,10
s.b0fd8836-507e-41a0-85b7-bb975297dd9c.txt,4344,2978,2583,3857,2932,3796,"",1598,"","","","",3271,2025-12-01-12-25,2025-12-01-17-25,2025-12-01-17-33,8
s.4b782d07-0e41-470a-a2db-02aed786367c.txt,8223,3355,7521,3939,7123,5869,"",313248,"","","","",3304,2025-12-01-11-26,2025-12-01-17-26,2025-12-01-17-39,13
s.14960adb-204f-44b2-a4c8-e67609fba7dc.txt,3253,6925,9643,6569,5082,10461,"",33417,"","","","",14305,2025-12-01-11-26,2025-12-01-17-26,2025-12-01-17-46,20
s.46d6a0b1-7bdc-498f-a73f-5050b49ed6a6.txt,9912,8647,8897,6263,5478,9230,"",4301,"","","","",24655,2025-12-01-12-26,2025-12-01-17-26,2025-12-01-17-35,9
s.f7116329-284b-4931-8ab5-019ad112cbff.txt,9126,22035,8524,3431,2913,26771,"",5180,"","","","",4643,2025-12-01-12-27,2025-12-01-17-27,2025-12-01-17-36,9
s.2469eade-59f8-43a6-a15d-f32fcd6a33bd.txt,16521,8773,17702,6541,15662,4764,"",7991,"","","","",16998,2025-12-01-11-27,2025-12-01-17-27,2025-12-01-17-37,10
s.7470596e-1067-4183-9b4b-dd509a6aa655.txt,2235,3073,5466,3772,4226,2578,"",2034,"","","","",3006,2025-12-01-11-27,2025-12-01-17-27,2025-12-01-17-33,6
s.b1979eb9-8dc2-4fe6-929f-b1c2b6ea4665.txt,3773,5165,5827,4479,7601,1360,"",1999,"","","","",3627,2025-12-01-11-28,2025-12-01-17-28,2025-12-01-17-35,7
s.8f710d27-ecac-423a-9f86-47568a979873.txt,6402,2822,1532,4356,3202,11730,"",2318,"","","","",7107,2025-12-01-11-28,2025-12-01-17-28,2025-12-01-17-36,8
s.3bb84030-c026-407c-a6e9-e117dd1b9147.txt,2659,2940,4973,5142,3827,12710,"",35754,"","","","",2770,2025-12-01-09-29,2025-12-01-17-29,2025-12-01-17-36,7
s.655e6456-4743-47bd-9b89-1bffe74b47d2.txt,14267,4873,11976,4902,4897,7956,"",123217,"","","","",79855,2025-12-01-12-29,2025-12-01-17-29,2025-12-01-17-50,21
s.77c6a71e-2c11-4fb1-b2fd-b83f6d514818.txt,7143,5428,7777,8645,5769,5489,"",7436,"","","","",18780,2025-12-01-12-29,2025-12-01-17-29,2025-12-01-17-38,9
s.f24284d1-4981-4236-90b8-a6417a5ed035.txt,11101,79404,15199,14557,7912,14327,"",47212,"","","","",18351,2025-12-01-12-30,2025-12-01-17-30,2025-12-01-17-44,14
s.d9af06f7-0b6b-4b6f-82ba-eda83c9cf748.txt,8492,7360,6073,4143,3684,42664,"",4786,"","","","",109975,2025-12-01-12-30,2025-12-01-17-30,2025-12-01-17-41,11
s.22336597-5e50-43e1-b08f-7f8666ab3be6.txt,6372,4815,5163,4674,4734,7826,"",2975,"","","","",15790,2025-12-01-09-30,2025-12-01-17-30,2025-12-01-17-38,8
s.18af1a71-e64a-415c-ae7b-63509c900104.txt,7608,8549,10804,13871,5837,11200,"",156577,"","","","",33250,2025-12-01-12-30,2025-12-01-17-30,2025-12-01-17-41,11
s.71066ead-d44a-4361-9eac-4e67a315d19e.txt,4555,5149,5835,4971,7003,9387,"",5853,"","","","",10449,2025-12-01-11-32,2025-12-01-17-32,2025-12-01-17-40,8
s.b5c14635-7559-4204-8b5d-837bc0fb2246.txt,5984,2805,3689,4777,3963,2337,"",5112,"","","","",2660,2025-12-01-11-32,2025-12-01-17-32,2025-12-01-17-37,5
s.0b43f94f-0070-427e-baf4-e224cabbac70.txt,9078,5094,6389,4400,3973,5701,"",2052,"","","","",7355,2025-12-01-12-33,2025-12-01-17-33,2025-12-01-17-40,7
s.8dbff661-3ca6-4030-b5fd-8a5b7f95deb3.txt,7983,3187,4311,5179,4222,4232,"",2523,"","","","",4922,2025-12-01-11-33,2025-12-01-17-33,2025-12-01-17-38,5
s.1a931c5b-bbbe-44b7-8beb-4c52f198e2ac.txt,3202,3144,4049,3388,2963,6123,"",3291,"","","","",4980,2025-12-01-11-34,2025-12-01-17-34,2025-12-01-17-39,5
s.a0017ec5-4181-45f8-9ce4-461a241eb531.txt,7241,13993,5382,7713,4868,2102,"",2089,"","","","",15769,2025-12-01-12-38,2025-12-01-17-38,2025-12-01-17-44,6
s.4dbd494a-ccd0-49d1-b337-dbe3a4a654ba.txt,9734,4039,5363,71901,23106,14710,"",2105,"","","","",396273,2025-12-01-12-41,2025-12-01-17-42,2025-12-01-18-01,19
s.e3d76cfe-6136-41a1-b067-1380e76b3d44.txt,4316,5385,18227,8031,5306,6995,"",16630,"","","","",26986,2025-12-01-12-42,2025-12-01-17-42,2025-12-01-17-49,7
s.1da3c845-2f02-43f5-b950-405839c9ffdc.txt,3724,7051,7638,5682,3914,11209,"",3649,"","","","",29643,2025-12-01-12-43,2025-12-01-17-43,2025-12-01-17-55,12
s.bbc68ecc-09b6-497a-9207-883fe033ab21.txt,54490,8858,4321,3636,3341,1180,"",2236,"","","","",34417,2025-12-01-12-43,2025-12-01-17-44,2025-12-01-17-57,13
s.40daabb4-9802-4a08-b5ff-14fe8e3c75ca.txt,3671,5083,7033,5798,4353,8759,"",3069,"","","","",9852,2025-12-01-12-47,2025-12-01-17-47,2025-12-01-17-55,8
s.3b16a2b1-0049-4251-b9da-1ec2791b4a35.txt,5693,7630,15559,7904,6307,8313,"",17063,"","","","",45828,2025-12-01-11-49,2025-12-01-17-49,2025-12-01-17-58,9
s.1f736cd0-e0cf-4ca9-98b7-249b6bc8e547.txt,14542,4566,4212,2848,2826,4912,"",6091,"","","","",132988,2025-12-01-11-52,2025-12-01-17-52,2025-12-01-18-00,8
s.fec2fd9a-531c-442e-8376-719076b8e45e.txt,5568,8362,17340,36172,9340,15231,"",24308,"","","","",23994,2025-12-01-11-52,2025-12-01-17-52,2025-12-01-18-03,11
s.1c105e5a-d8a7-4f95-8ca5-7e98bb1e0bd4.txt,4536,5439,4993,4710,5114,4976,"",62329,"","","","",5320,2025-12-01-12-54,2025-12-01-17-54,2025-12-01-18-04,10
s.b5ce254b-39db-4d00-8334-eea8b2f1f3f9.txt,2529,9020,3212,3319,2994,2174,"",2524,"","","","",3132,2025-12-01-12-57,2025-12-01-17-57,2025-12-01-18-04,7
s.a05fefca-0bb3-4077-886a-9c20bfae0f61.txt,3489,7171,8367,7266,4564,10700,"",4648,"","","","",9416,2025-12-01-09-58,2025-12-01-17-58,2025-12-01-18-05,7
s.74704d2e-69df-40ef-b802-6337e7fb7a74.txt,4863,11656,16102,7528,6037,12605,"",73356,"","","","",3053,2025-12-01-13-00,2025-12-01-18-00,2025-12-01-18-09,9
s.c7cf2659-d906-4a72-aa81-f9f9dbbfdc36.txt,16735,4355,7289,6237,4812,92271,"",2458,"","","","",62660,2025-12-01-10-01,2025-12-01-18-01,2025-12-01-18-13,12
s.14a283a1-d19c-41a4-8768-e8e8c98c01be.txt,4036,5380,10375,7295,5098,32479,"",4054,"","","","",14995,2025-12-01-13-03,2025-12-01-18-03,2025-12-01-18-15,12
s.b1307cb3-f0b8-4d48-b6bf-1081da673c98.txt,3530,3829,10690,6214,3956,2221,"",201814,"","","","",282817,2025-12-01-11-06,2025-12-01-18-06,2025-12-01-18-20,14
s.59026c60-18d8-43bc-8d61-7960d5a681bd.txt,8343,4567,5536,3856,4432,5024,"",2464,"","","","",6828,2025-12-01-12-06,2025-12-01-18-06,2025-12-01-18-14,8
s.79805721-ab39-4b52-bb4f-0f91fb4395de.txt,9545,5848,6762,8202,6597,8954,"",6041,"","","","",14575,2025-12-01-13-08,2025-12-01-18-08,2025-12-01-18-23,15
